metro_area,population,road_length (mi),land_area (sq mi),daily_vmt (mi/day)
"Lompoc, CA",51509,181,11,517000
"Hinesville, GA",51456,320,31,1098000
"Uniontown--Connellsville, PA",51370,444,39,1406000
"Casa Grande, AZ",51331,453,22,1722000
"Villas, NJ",51291,456,34,1226000
"Monroe, MI",51240,315,32,1880000
"Brunswick, GA",51024,561,43,2686000
"Chambersburg, PA",50887,441,37,1491000
"Grants Pass, OR",50520,460,27,1774000
"New Bern, NC",50503,332,43,924000
"Grand Island, NE",50440,341,28,845000
